cod_barrio,barrio,pob_total,pct_extranjera,pct_65mas,pct_pob_2044,pct_extranjera_2044,var_extranjera_1823,var_65mas_1823,var_pob_2044_1823,var_extranjera_2044_1823,pct_hosteleria_2023,pct_servicios_prof,pct_comercio_tradicional,pct_inmobiliario,var_hosteleria_1823,alquiler_2023,var_alquiler_dist_1823,catastral_m2,var_catastral_m2_2023
011,011. Palacio,23500,21.71,19.29,40.47,14.57,4.59,0.37,0.09,3.15,40.71,3.05,37.97,1.18,1.76,19.87,11.73,1377.18,0.12
012,012. Embajadores,46204,30.65,13.75,48.0,21.66,5.39,-0.63,0.2,3.94,22.82,3.69,58.49,0.53,2.41,19.79,11.73,1260.41,0.05
013,013. Cortes,10816,28.4,17.37,45.21,19.5,6.44,0.5,1.56,4.41,44.61,2.63,36.45,0.45,1.0,20.39,11.73,1546.72,-0.07
014,014. Justicia,18219,26.95,15.75,44.94,18.34,6.38,-0.65,1.12,4.42,31.72,1.92,54.67,0.6,0.27,22.6,11.73,1642.98,0.07
015,015. Universidad,32783,26.2,16.01,47.42,18.63,5.24,-0.51,1.28,4.43,32.47,3.02,48.44,0.85,0.69,21.07,11.73,1389.58,-0.58
016,016. Sol,8164,34.84,15.75,47.91,24.64,9.77,-1.41,2.17,6.93,35.82,1.47,53.64,0.2,1.24,20.49,11.73,1453.18,-0.74
021,021. Imperial,22385,8.45,23.47,31.92,5.25,1.77,2.47,-0.56,1.04,19.19,4.84,49.3,4.99,-1.39,16.65,14.04,1291.0,-0.62
022,022. Acacias,36069,8.2,25.76,33.24,5.21,1.66,3.69,-0.15,1.04,19.91,5.78,48.44,1.19,0.26,17.18,14.04,1257.57,-0.19
023,023. Chopera,19761,14.39,23.0,37.17,8.96,1.41,-0.2,1.12,1.08,20.28,5.88,52.63,0.77,1.43,16.29,14.04,1173.47,-0.11
024,024. Legazpi,19468,8.01,11.34,33.69,4.79,1.16,3.01,-3.7,0.53,25.37,3.98,39.55,1.0,0.56,15.73,14.04,1403.66,-0.63
025,025. Delicias,28575,13.03,17.71,35.87,8.0,2.09,0.9,-0.52,1.2,21.52,3.88,48.93,2.01,0.39,16.76,14.04,1240.11,-0.12
026,026. Palos de la Frontera,25097,15.69,21.66,38.35,10.42,1.42,1.14,-0.38,1.16,20.12,5.07,51.62,2.16,0.53,17.5,14.04,1171.58,0.0
027,027. Atocha,1949,10.88,9.8,36.17,7.18,4.96,0.01,7.33,3.15,21.56,2.99,39.52,0.0,-3.44,16.68,14.04,1589.11,-1.46
031,031. Pacífico,33027,10.72,26.45,32.52,6.86,2.39,1.93,0.11,1.61,15.71,4.75,57.72,1.74,-1.59,16.63,13.74,1282.85,0.01
032,032. Adelfas,18832,8.61,22.83,32.27,5.34,2.16,2.13,-1.62,1.39,19.23,4.95,49.45,1.37,-0.55,15.86,13.74,1371.32,-0.02
033,033. Estrella,22649,4.9,31.92,26.15,2.78,1.2,1.45,-2.11,0.68,16.53,4.88,50.14,1.9,0.18,15.53,13.74,1394.88,-0.02
034,034. Ibiza,21492,14.37,25.3,31.68,8.39,4.47,0.4,-0.91,2.25,25.17,2.45,56.35,1.34,2.72,19.45,13.74,1683.72,-0.02
035,035. Los Jerónimos,6825,13.83,26.32,30.12,6.93,4.42,-0.24,0.06,2.44,37.54,2.84,35.02,0.63,2.95,18.71,13.74,2185.7,-0.1
036,036. Niño Jesús,15093,6.71,27.34,26.92,3.36,1.63,0.93,-1.29,0.66,20.32,7.22,43.12,0.9,-0.85,17.14,13.74,1741.1,-0.11
041,041. Recoletos,15444,20.97,24.35,33.4,11.02,5.16,1.63,-0.5,2.54,22.08,2.16,64.29,0.66,2.69,24.2,14.61,2056.8,0.03
042,042. Goya,29477,17.97,24.08,36.4,11.45,5.11,0.56,0.77,3.08,22.05,1.81,60.71,1.31,0.85,21.2,14.61,1673.54,0.22
043,043. Fuente del Berro,20929,14.26,24.73,34.45,8.7,3.13,0.1,-0.32,1.53,19.71,6.61,49.34,0.66,1.7,17.82,14.61,1380.16,-0.03
044,044. Guindalera,41964,12.79,23.95,34.65,8.48,2.74,-0.72,0.84,1.84,17.9,7.22,48.13,1.09,0.72,18.35,14.61,1376.72,0.01
045,045. Lista,20969,18.15,24.16,36.98,12.09,4.74,0.2,0.47,2.96,22.85,2.49,56.39,0.93,0.47,21.1,14.61,1630.69,-0.16
