cod_barrio,barrio,pct_hosteleria_2023,pct_servicios_prof,pct_comercio_tradicional,pct_inmobiliario,var_hosteleria_1823
011,011. Palacio,40.71,3.05,37.97,1.18,1.76
012,012. Embajadores,22.82,3.69,58.49,0.53,2.41
013,013. Cortes,44.61,2.63,36.45,0.45,1.0
014,014. Justicia,31.72,1.92,54.67,0.6,0.27
015,015. Universidad,32.47,3.02,48.44,0.85,0.69
016,016. Sol,35.82,1.47,53.64,0.2,1.24
021,021. Imperial,19.19,4.84,49.3,4.99,-1.39
022,022. Acacias,19.91,5.78,48.44,1.19,0.26
023,023. Chopera,20.28,5.88,52.63,0.77,1.43
024,024. Legazpi,25.37,3.98,39.55,1.0,0.56
025,025. Delicias,21.52,3.88,48.93,2.01,0.39
026,026. Palos de la Frontera,20.12,5.07,51.62,2.16,0.53
027,027. Atocha,21.56,2.99,39.52,0.0,-3.44
031,031. Pacífico,15.71,4.75,57.72,1.74,-1.59
032,032. Adelfas,19.23,4.95,49.45,1.37,-0.55
033,033. Estrella,16.53,4.88,50.14,1.9,0.18
034,034. Ibiza,25.17,2.45,56.35,1.34,2.72
035,035. Los Jerónimos,37.54,2.84,35.02,0.63,2.95
036,036. Niño Jesús,20.32,7.22,43.12,0.9,-0.85
041,041. Recoletos,22.08,2.16,64.29,0.66,2.69
042,042. Goya,22.05,1.81,60.71,1.31,0.85
043,043. Fuente del Berro,19.71,6.61,49.34,0.66,1.7
044,044. Guindalera,17.9,7.22,48.13,1.09,0.72
045,045. Lista,22.85,2.49,56.39,0.93,0.47
046,046. Castellana,23.62,2.47,56.64,0.85,0.74
051,051. El Viso,23.84,7.15,37.31,0.95,0.88
052,052. Prosperidad,18.05,4.96,54.06,0.83,-0.04
053,053. Ciudad Jardín,18.61,7.36,47.32,1.37,-0.81
054,054. Hispanoamérica,21.19,2.83,56.54,1.3,-0.36
055,055. Nueva España,23.53,6.86,45.34,1.1,0.24
056,056. Castilla,24.64,3.49,40.86,1.23,-0.31
061,061. Bellas Vistas,17.15,7.67,49.55,1.01,0.95
062,062. Cuatro Caminos,22.51,4.2,52.05,1.33,-0.32
063,063. Castillejos,27.53,4.84,44.19,1.18,-1.19
064,064. Almenara,15.54,6.74,44.3,0.91,-1.66
065,065. Valdeacederas,13.35,4.45,51.79,1.11,0.62
066,066. Berruguete,14.93,5.75,52.26,1.35,-0.43
071,071. Gaztambide,20.18,3.53,58.51,1.28,-0.32
072,072. Arapiles,21.21,2.82,54.75,2.29,1.14
073,073. Trafalgar,25.93,4.94,50.0,1.36,1.88
074,074. Almagro,27.4,3.46,47.12,0.77,2.74
075,075. Ríos Rosas,26.95,5.42,49.38,1.15,3.08
076,076. Vallehermoso,23.93,2.9,46.61,1.11,0.33
081,081. El Pardo,42.4,3.2,32.8,0.8,-1.01
082,082. Fuentelarreina,35.0,0.0,35.0,0.0,1.67
083,083. Peñagrande,17.31,4.78,55.17,1.29,0.27
084,084. Pilar,16.09,3.42,60.16,1.08,-0.38
085,085. La Paz,21.48,4.74,52.29,1.42,1.51
086,086. Valverde,23.99,5.47,40.34,1.08,0.27
087,087. Mirasierra,24.57,3.16,50.36,1.22,0.5
088,088. El Goloso,30.02,3.97,37.09,0.66,-0.31
091,091. Casa de Campo,28.62,3.9,49.59,0.81,-0.14
092,092. Argüelles,25.78,4.01,48.95,1.48,0.43
093,093. Ciudad Universitaria,37.2,4.33,28.79,0.38,3.55
094,094. Valdezarza,15.27,4.18,50.18,1.27,-2.34
