cod_barrio,barrio,pob_total,pct_extranjera,pct_65mas,pct_pob_2044,pct_extranjera_2044,var_extranjera_1823,var_65mas_1823,var_pob_2044_1823,var_extranjera_2044_1823
011,011. Palacio,23500,21.71,19.29,40.47,14.57,4.59,0.37,0.09,3.15
012,012. Embajadores,46204,30.65,13.75,48.0,21.66,5.39,-0.63,0.2,3.94
013,013. Cortes,10816,28.4,17.37,45.21,19.5,6.44,0.5,1.56,4.41
014,014. Justicia,18219,26.95,15.75,44.94,18.34,6.38,-0.65,1.12,4.42
015,015. Universidad,32783,26.2,16.01,47.42,18.63,5.24,-0.51,1.28,4.43
016,016. Sol,8164,34.84,15.75,47.91,24.64,9.77,-1.41,2.17,6.93
021,021. Imperial,22385,8.45,23.47,31.92,5.25,1.77,2.47,-0.56,1.04
022,022. Acacias,36069,8.2,25.76,33.24,5.21,1.66,3.69,-0.15,1.04
023,023. Chopera,19761,14.39,23.0,37.17,8.96,1.41,-0.2,1.12,1.08
024,024. Legazpi,19468,8.01,11.34,33.69,4.79,1.16,3.01,-3.7,0.53
025,025. Delicias,28575,13.03,17.71,35.87,8.0,2.09,0.9,-0.52,1.2
026,026. Palos de la Frontera,25097,15.69,21.66,38.35,10.42,1.42,1.14,-0.38,1.16
027,027. Atocha,1949,10.88,9.8,36.17,7.18,4.96,0.01,7.33,3.15
031,031. Pacífico,33027,10.72,26.45,32.52,6.86,2.39,1.93,0.11,1.61
032,032. Adelfas,18832,8.61,22.83,32.27,5.34,2.16,2.13,-1.62,1.39
033,033. Estrella,22649,4.9,31.92,26.15,2.78,1.2,1.45,-2.11,0.68
034,034. Ibiza,21492,14.37,25.3,31.68,8.39,4.47,0.4,-0.91,2.25
035,035. Los Jerónimos,6825,13.83,26.32,30.12,6.93,4.42,-0.24,0.06,2.44
036,036. Niño Jesús,15093,6.71,27.34,26.92,3.36,1.63,0.93,-1.29,0.66
041,041. Recoletos,15444,20.97,24.35,33.4,11.02,5.16,1.63,-0.5,2.54
042,042. Goya,29477,17.97,24.08,36.4,11.45,5.11,0.56,0.77,3.08
043,043. Fuente del Berro,20929,14.26,24.73,34.45,8.7,3.13,0.1,-0.32,1.53
044,044. Guindalera,41964,12.79,23.95,34.65,8.48,2.74,-0.72,0.84,1.84
045,045. Lista,20969,18.15,24.16,36.98,12.09,4.74,0.2,0.47,2.96
046,046. Castellana,16919,21.55,23.58,36.72,13.71,6.04,0.55,0.85,3.7
051,051. El Viso,17274,11.58,22.26,32.26,6.11,1.0,0.79,-0.74,0.15
052,052. Prosperidad,36027,11.71,26.13,34.04,7.54,2.03,1.47,-0.5,1.38
053,053. Ciudad Jardín,18513,13.68,23.82,34.32,8.41,2.39,0.81,-0.33,1.28
054,054. Hispanoamérica,31470,8.58,24.91,29.49,4.32,1.88,0.3,-0.81,0.85
055,055. Nueva España,24466,10.47,21.36,30.86,5.44,1.45,0.43,-1.37,0.88
