cod_barrio,barrio,cluster,cluster_nombre,indice_gentrificacion,nivel_gentrificacion
11,011. Palacio,0,Barrios consolidados y turísticos,0.4744,N1 - Gentrificación activa
12,012. Embajadores,0,Barrios consolidados y turísticos,0.5221,N1 - Gentrificación activa
13,013. Cortes,0,Barrios consolidados y turísticos,0.5409,N1 - Gentrificación activa
14,014. Justicia,0,Barrios consolidados y turísticos,0.5375,N1 - Gentrificación activa
15,015. Universidad,0,Barrios consolidados y turísticos,0.5383,N1 - Gentrificación activa
16,016. Sol,0,Barrios consolidados y turísticos,0.624,N1 - Gentrificación activa
21,021. Imperial,2,Barrios residenciales estables,0.3022,N3 - Sin dinámicas gentrificadoras
22,022. Acacias,2,Barrios residenciales estables,0.2986,N3 - Sin dinámicas gentrificadoras
23,023. Chopera,2,Barrios residenciales estables,0.3841,N3 - Sin dinámicas gentrificadoras
24,024. Legazpi,2,Barrios residenciales estables,0.3045,N3 - Sin dinámicas gentrificadoras
25,025. Delicias,2,Barrios residenciales estables,0.3655,N3 - Sin dinámicas gentrificadoras
26,026. Palos de la Frontera,2,Barrios residenciales estables,0.3696,N3 - Sin dinámicas gentrificadoras
27,027. Atocha,0,Barrios consolidados y turísticos,0.4658,N1 - Gentrificación activa
31,031. Pacífico,2,Barrios residenciales estables,0.3149,N3 - Sin dinámicas gentrificadoras
32,032. Adelfas,2,Barrios residenciales estables,0.3045,N3 - Sin dinámicas gentrificadoras
33,033. Estrella,2,Barrios residenciales estables,0.254,N3 - Sin dinámicas gentrificadoras
34,034. Ibiza,0,Barrios consolidados y turísticos,0.3904,N3 - Sin dinámicas gentrificadoras
35,035. Los Jerónimos,0,Barrios consolidados y turísticos,0.4174,N2 - Tendencia gentrificadora
36,036. Niño Jesús,2,Barrios residenciales estables,0.2894,N3 - Sin dinámicas gentrificadoras
41,041. Recoletos,0,Barrios consolidados y turísticos,0.4212,N2 - Tendencia gentrificadora
42,042. Goya,0,Barrios consolidados y turísticos,0.4396,N2 - Tendencia gentrificadora
43,043. Fuente del Berro,2,Barrios residenciales estables,0.3791,N3 - Sin dinámicas gentrificadoras
44,044. Guindalera,2,Barrios residenciales estables,0.4002,N2 - Tendencia gentrificadora
45,045. Lista,0,Barrios consolidados y turísticos,0.4424,N2 - Tendencia gentrificadora
46,046. Castellana,0,Barrios consolidados y turísticos,0.4677,N1 - Gentrificación activa
51,051. El Viso,2,Barrios residenciales estables,0.3383,N3 - Sin dinámicas gentrificadoras
52,052. Prosperidad,2,Barrios residenciales estables,0.3301,N3 - Sin dinámicas gentrificadoras
53,053. Ciudad Jardín,2,Barrios residenciales estables,0.347,N3 - Sin dinámicas gentrificadoras
54,054. Hispanoamérica,2,Barrios residenciales estables,0.3245,N3 - Sin dinámicas gentrificadoras
55,055. Nueva España,2,Barrios residenciales estables,0.3355,N3 - Sin dinámicas gentrificadoras
56,056. Castilla,2,Barrios residenciales estables,0.3737,N3 - Sin dinámicas gentrificadoras
61,061. Bellas Vistas,1,Barrios en transformación,0.4469,N2 - Tendencia gentrificadora
62,062. Cuatro Caminos,0,Barrios consolidados y turísticos,0.418,N2 - Tendencia gentrificadora
63,063. Castillejos,2,Barrios residenciales estables,0.4017,N2 - Tendencia gentrificadora
64,064. Almenara,1,Barrios en transformación,0.4467,N2 - Tendencia gentrificadora
65,065. Valdeacederas,1,Barrios en transformación,0.4337,N2 - Tendencia gentrificadora
66,066. Berruguete,1,Barrios en transformación,0.4456,N2 - Tendencia gentrificadora
71,071. Gaztambide,0,Barrios consolidados y turísticos,0.4269,N2 - Tendencia gentrificadora
72,072. Arapiles,0,Barrios consolidados y turísticos,0.4242,N2 - Tendencia gentrificadora
73,073. Trafalgar,0,Barrios consolidados y turísticos,0.4797,N1 - Gentrificación activa
74,074. Almagro,0,Barrios consolidados y turísticos,0.423,N2 - Tendencia gentrificadora
75,075. Ríos Rosas,0,Barrios consolidados y turísticos,0.4257,N2 - Tendencia gentrificadora
76,076. Vallehermoso,2,Barrios residenciales estables,0.3777,N3 - Sin dinámicas gentrificadoras
81,081. El Pardo,2,Barrios residenciales estables,0.3514,N3 - Sin dinámicas gentrificadoras
82,082. Fuentelarreina,2,Barrios residenciales estables,0.2947,N3 - Sin dinámicas gentrificadoras
83,083. Peñagrande,2,Barrios residenciales estables,0.2585,N3 - Sin dinámicas gentrificadoras
84,084. Pilar,2,Barrios residenciales estables,0.3453,N3 - Sin dinámicas gentrificadoras
85,085. La Paz,2,Barrios residenciales estables,0.1807,N3 - Sin dinámicas gentrificadoras
86,086. Valverde,2,Barrios residenciales estables,0.3479,N3 - Sin dinámicas gentrificadoras
87,087. Mirasierra,2,Barrios residenciales estables,0.2996,N3 - Sin dinámicas gentrificadoras
88,088. El Goloso,2,Barrios residenciales estables,0.2803,N3 - Sin dinámicas gentrificadoras
91,091. Casa de Campo,2,Barrios residenciales estables,0.3416,N3 - Sin dinámicas gentrificadoras
92,092. Argüelles,0,Barrios consolidados y turísticos,0.4578,N2 - Tendencia gentrificadora
93,093. Ciudad Universitaria,2,Barrios residenciales estables,0.3687,N3 - Sin dinámicas gentrificadoras
94,094. Valdezarza,2,Barrios residenciales estables,0.3425,N3 - Sin dinámicas gentrificadoras
95,095. Valdemarín,2,Barrios residenciales estables,0.3565,N3 - Sin dinámicas gentrificadoras
96,096. El Plantío,2,Barrios residenciales estables,0.3115,N3 - Sin dinámicas gentrificadoras
97,097. Aravaca,2,Barrios residenciales estables,0.3038,N3 - Sin dinámicas gentrificadoras
101,101. Los Cármenes,1,Barrios en transformación,0.5059,N1 - Gentrificación activa
