cod_barrio,barrio,cluster,cluster_nombre,dim_poblacion_extranjera,dim_poblacion_joven,dim_hosteleria,dim_alquiler,dim_envejecimiento,indice_gentrificacion,nivel_gentrificacion
172,172. San Cristóbal,1,Barrios en transformación,0.6503,0.662,0.3231,0.6978,0.7898,0.6246,N1 - Gentrificación activa
16,016. Sol,0,Barrios consolidados y turísticos,1.0,0.7778,0.3513,0.3558,0.635,0.624,N1 - Gentrificación activa
194,194. El Cañaveral,1,Barrios en transformación,0.3197,0.6384,0.8322,0.4396,0.7447,0.5949,N1 - Gentrificación activa
175,175. Ángeles,1,Barrios en transformación,0.6007,0.6747,0.1778,0.6815,0.7311,0.5732,N1 - Gentrificación activa
132,132. San Diego,1,Barrios en transformación,0.709,0.652,0.1299,0.6337,0.7178,0.5685,N1 - Gentrificación activa
127,127. Pradolongo,1,Barrios en transformación,0.5672,0.5997,0.1946,0.7382,0.6381,0.5476,N1 - Gentrificación activa
202,202. Hellín,1,Barrios en transformación,0.6529,0.6644,0.2734,0.2941,0.8272,0.5424,N1 - Gentrificación activa
13,013. Cortes,0,Barrios consolidados y turísticos,0.7057,0.7248,0.4227,0.3532,0.4982,0.5409,N1 - Gentrificación activa
15,015. Universidad,0,Barrios consolidados y turísticos,0.6944,0.7399,0.3114,0.3703,0.5756,0.5383,N1 - Gentrificación activa
14,014. Justicia,0,Barrios consolidados y turísticos,0.6892,0.7058,0.2966,0.4087,0.587,0.5375,N1 - Gentrificación activa
122,122. Orcasur,1,Barrios en transformación,0.5145,0.5672,0.3121,0.687,0.5754,0.5312,N1 - Gentrificación activa
126,126. Zofío,1,Barrios en transformación,0.5697,0.6234,0.1529,0.7214,0.5775,0.529,N1 - Gentrificación activa
203,203. Amposta,1,Barrios en transformación,0.7146,0.695,0.1775,0.2941,0.74,0.5242,N1 - Gentrificación activa
102,102. Puerta del Ángel,1,Barrios en transformación,0.496,0.6486,0.2094,0.6675,0.5929,0.5229,N1 - Gentrificación activa
125,125. Moscardó,1,Barrios en transformación,0.441,0.6079,0.2564,0.7131,0.5955,0.5228,N1 - Gentrificación activa
12,012. Embajadores,0,Barrios consolidados y turísticos,0.6973,0.7074,0.2617,0.3382,0.6057,0.5221,N1 - Gentrificación activa
115,115. Puerta Bonita,1,Barrios en transformación,0.6077,0.6107,0.1716,0.5052,0.6783,0.5147,N1 - Gentrificación activa
124,124. Almendrales,1,Barrios en transformación,0.3897,0.5577,0.2307,0.7091,0.6596,0.5094,N1 - Gentrificación activa
101,101. Los Cármenes,1,Barrios en transformación,0.4852,0.6258,0.2543,0.6041,0.5599,0.5059,N1 - Gentrificación activa
136,136. Numancia,1,Barrios en transformación,0.5817,0.6081,0.1318,0.636,0.5524,0.502,N1 - Gentrificación activa
105,105. Campamento,1,Barrios en transformación,0.6158,0.55,0.1844,0.6036,0.5426,0.4993,N1 - Gentrificación activa
171,"171. Villaverde Alto, Casco Histórico de Villaverde",1,Barrios en transformación,0.5214,0.5637,0.0708,0.7103,0.6274,0.4987,N1 - Gentrificación activa
114,114. Vista Alegre,1,Barrios en transformación,0.5693,0.5845,0.1784,0.4975,0.5821,0.4824,N1 - Gentrificación activa
73,073. Trafalgar,0,Barrios consolidados y turísticos,0.4875,0.6315,0.2782,0.5353,0.4662,0.4797,N1 - Gentrificación activa
117,117. Abrantes,1,Barrios en transformación,0.5702,0.525,0.2051,0.4812,0.6112,0.4785,N1 - Gentrificación activa
112,112. Opañel,1,Barrios en transformación,0.5115,0.6227,0.161,0.508,0.582,0.477,N1 - Gentrificación activa
113,113. San Isidro,1,Barrios en transformación,0.487,0.5943,0.2077,0.518,0.5775,0.4769,N1 - Gentrificación activa
145,145. Fontarrón,1,Barrios en transformación,0.407,0.5582,0.1745,0.5704,0.6665,0.4753,N1 - Gentrificación activa
11,011. Palacio,0,Barrios consolidados y turísticos,0.5233,0.6175,0.4039,0.3402,0.4873,0.4744,N1 - Gentrificación activa
131,131. Entrevías,1,Barrios en transformación,0.4363,0.5845,0.1592,0.5645,0.6194,0.4728,N1 - Gentrificación activa
46,046. Castellana,0,Barrios consolidados y turísticos,0.558,0.6022,0.2357,0.5094,0.4331,0.4677,N1 - Gentrificación activa
103,103. Lucero,1,Barrios en transformación,0.4421,0.5863,0.1391,0.5865,0.5755,0.4659,N1 - Gentrificación activa
