cod_barrio,barrio,cluster,cluster_nombre,alquiler_2023,catastral_m2,pct_extranjera,pct_hosteleria_2023,pct_pob_2044,var_alquiler_dist_1823
11,011. Palacio,0,Barrios consolidados y turísticos,19.87,1377.18,21.71,40.71,40.47,11.73
12,012. Embajadores,0,Barrios consolidados y turísticos,19.79,1260.41,30.65,22.82,48.0,11.73
13,013. Cortes,0,Barrios consolidados y turísticos,20.39,1546.72,28.4,44.61,45.21,11.73
14,014. Justicia,0,Barrios consolidados y turísticos,22.6,1642.98,26.95,31.72,44.94,11.73
15,015. Universidad,0,Barrios consolidados y turísticos,21.07,1389.58,26.2,32.47,47.42,11.73
16,016. Sol,0,Barrios consolidados y turísticos,20.49,1453.18,34.84,35.82,47.91,11.73
27,027. Atocha,0,Barrios consolidados y turísticos,16.68,1589.11,10.88,21.56,36.17,14.04
34,034. Ibiza,0,Barrios consolidados y turísticos,19.45,1683.72,14.37,25.17,31.68,13.74
35,035. Los Jerónimos,0,Barrios consolidados y turísticos,18.71,2185.7,13.83,37.54,30.12,13.74
41,041. Recoletos,0,Barrios consolidados y turísticos,24.2,2056.8,20.97,22.08,33.4,14.61
42,042. Goya,0,Barrios consolidados y turísticos,21.2,1673.54,17.97,22.05,36.4,14.61
45,045. Lista,0,Barrios consolidados y turísticos,21.1,1630.69,18.15,22.85,36.98,14.61
46,046. Castellana,0,Barrios consolidados y turísticos,22.38,2012.75,21.55,23.62,36.72,14.61
62,062. Cuatro Caminos,0,Barrios consolidados y turísticos,18.35,1390.0,17.06,22.51,38.12,15.25
71,071. Gaztambide,0,Barrios consolidados y turísticos,19.26,1368.73,14.29,20.18,37.26,15.51
72,072. Arapiles,0,Barrios consolidados y turísticos,19.48,1377.98,13.52,21.21,38.26,15.51
73,073. Trafalgar,0,Barrios consolidados y turísticos,22.09,1390.66,16.85,25.93,39.83,15.51
74,074. Almagro,0,Barrios consolidados y turísticos,21.92,1639.11,16.01,27.4,34.29,15.51
75,075. Ríos Rosas,0,Barrios consolidados y turísticos,20.08,1471.02,13.18,26.95,36.65,15.51
